,Date,Messages
0,2021-05-01,doge is going crag 
1,2021-05-01,sell target of doge 
2,2021-05-01,doge 
4,2021-05-01,"anyway, is doge a good crypto for long term investment? "
5,2021-05-01,doge target :bullseye: 
6,2021-05-01,who else going to mars with doge:beaming_face_with_smiling_eyes: 
7,2021-05-01,doge to the moon 
8,2021-05-01,doge is domoid :disappointed_face::disappointed_face::disappointed_face: 
10,2021-05-01,doge is going to rise 
11,2021-05-01,what did you all say about doge? 
12,2021-05-01,thought on doge coin 
13,2021-05-01,i slaked cro for doge coin and was allocate 15.5 coins. i accepted but not dispersed. why ? 
14,2021-05-01,anyone think doge will take anymore major dimps before saturday night live? 
15,2021-05-01,"have you checked your exchange account for the issue doge, if so you will have to contact support "
16,2021-05-01,hhs someone supercharger on crypto cod done? the doge hhs already been paid because i still have funds from this charger blocked and i have not received a single dog so far. 
17,2021-05-01,did not get my doge reward why? 
18,2021-05-01,supercharger doge coiny still not released???? how can i trust to supercharge now?? 
19,2021-05-01,doge 
20,2021-05-01,buy doge 
21,2021-05-01,please reduce transfer feces of doge 
22,2021-05-01,it is elod musk tweet on doge coin 
23,2021-05-01,can i buy a doge 
24,2021-05-01,someone askew for doge coin growth 
25,2021-05-01,I am retreating now why i sold my doge 
26,2021-05-01,doge coin 
27,2021-05-01,"if doge is more worth than cro for now, who known what cro will do in the future "
28,2021-05-01,"doge coin hhs an army, but they are no match for the mafia cro is building:grinning_face_with_big_eyes::smiling_face_with_sunglasses: "
29,2021-05-01,"i agree, but doge coin hhs an army. cro is building a mafia:smiling_face_with_sunglasses: "
30,2021-05-01,shall i buy doge now? 
31,2021-05-01,doge to the moon 
33,2021-05-01,did you check dogelon? 
34,2021-05-01,"be patient, doge will go to $ 1. "
35,2021-05-01,what about doge coin 
36,2021-05-01,when you buy a crypto you buy its rarity ... the dogecoin there will be infinite 
37,2021-05-01,yet again dogecoin hit aah 
38,2021-05-01,what about doge coin 
39,2021-05-01,for beginning i want to buy xli or dogecoin which one is better guts to make more money? 
40,2021-05-01,otc doge 
41,2021-05-01,i seen my mate buy 1k worth of arar and turn it into 49k :exploding_head: another guy bought doge made similar gains off that.. mine just pretty much stays the same loa 
42,2021-05-01,how about doge??? 
43,2021-05-01,will doge hit 1$? 
44,2021-05-01,loa I am here to find coiny definitely not shill doge :grinning_face_with_sweat: 
45,2021-05-01,doge coin is good day 
46,2021-05-01,"that is bet, if you are in a haste to accumulate much profit then you have to look for coiny with strong momentum like doge ,or you could probably engage in biscotin mining,anyone "
47,2021-05-01,any update about dogecoin 
49,2021-05-02,i just buy 300doge 
50,2021-05-02,will doge coiny return ath? 
51,2021-05-02,plz doge up or down now 
52,2021-05-02,what opinion do you have about dogecoin ? 
53,2021-05-02,deposit processing time for dogecoin ? 
54,2021-05-02,deposit processing time for dogecoin ? 
55,2021-05-02,50 dogecoin 
56,2021-05-02,50 doge fee? loa 
57,2021-05-02,that i did for the doge accepted but got nothing 
58,2021-05-02,why is the transfer feces of doge are high? 
59,2021-05-02,"congratulations rue*****@*****com!
:rocket: you are the weekly lucky draw winner of our doge treat extravaganza! 
you have won ust 50,000 + an exclusive doge nat :wrapped_gift:

check out the top 9 winner here with the highest number of doge points:  "
60,2021-05-02,"when doge was around 1 cent the transfer fee was 50 doge, now it is half a dollar and the transfer feces are still 50 doge "
61,2021-05-03,"that is abounding the winner of the weekly draw, nothing sus about it.

 "
62,2021-05-03,anything about doge 
63,2021-05-03,do someone know about doge future this week 
64,2021-05-03,does anyone know why my supercharge reward are not being shown? i enterer the doge supercharge event and it is ended now but i do not see my reward in any wallet 
